M1001 4791.53     Conducir con presencia de alcohol en la sangre o bajo los efectos de estupefacientes y que haya participado en un accidente de tránsito.
M1044     270.72  Conducir un vehiculo de la categoria L5 de la clasificación vehicular, que no cuente con el certificado de aprobacíón de inspección técnica vehicular
M1045  546.13  No respetar el derecho preferente de paso del/de la ciclista o del/ de la conductor/a del VMP
M1046     658.70     Obstruir la ciclovía
M1047       520.07       Realizar la circulación por rutas que no forman parte de caminos, vías urbanas o del Sistema Nacional de Carreteras, evadiendo el pago del peaje
M1048  544.44     Efectuar maniobras y/o acciones generando daños materiales a la infraestructura o garitas de pago de peaje
G2001       368.08       Adelantar o sobrepasar en forma indebida a otro vehículo
G2002     354.90    No hacer señales ni tomar las precauciones para girar, voltear en U, pasar de un carril de la calzada a otro o detener el vehículo
G2003    410.24       Detener el vehículo bruscamente sin motivo.
G2004       416.07       No detenerse antes de la línea de parada o no respetar el derecho de paso del peatón o ciclista.
G2005       414.66  No mantener una distancia suficiente, razonable y prudente, de acuerdo al tipo de vehículo y la vía por la que se conduce.
G2006       364.18    No ubicar el vehículo con la debida anticipación en el carril donde va efectuar el giro o volteo.
G2007  425.23     No conducir por el carril de extremo derecho de la calzada un vehículo de transporte público de pasajeros o de carga.
G2008    379.12  No utilizar el carril derecho para recoger o dejar pasajeros o carga.
G2009    368.89       Retroceder, salvo casos indispensables para mantener libre la circulación, para incorporarse a ella o para estacionar el vehículo.
G2010       411.19       Incumplir las disposiciones sobre el uso de las vías de tránsito rápido y/o de acceso restringido.
G2011  446.98     Circular, estacionar o detenerse sobre una isla de encauzamientoo divisoria del tránsito, bermas, aceras, pasos peatonales o rampas para minusválidos.
G2012    442.17    Girar estando el semáforo con luz roja y flecha verde, sin respetar el derecho preferente de paso de los peatones
G2013     378.46  Conducir un vehículo con mayor número de personas al número de asientos señalado en la Tarjeta de Identificación Vehicular
G2014    399.25    Tener la puerta, capot o maletera del vehículo abierta, cuando el vehículo está en marcha.
G2015  398.94     No utilizar las luces intermitentes de emergencia de un vehículo cuando se detiene por razones de fuerza mayor u obstaculizando el tránsito.
G2016     414.10       Conducir un vehículo por una vía en la cual no está permitida la circulación o sobre mangueras contra incendios
G2017     377.41     Conducir vehículos que tengan lunas o vidrios polarizados que impidan la visibilidad del interior del vehículo, sin la autorización correspondiente.
G2018     398.27    Conducir un vehículo sin que ambas manos estén sobre el volante de dirección, excepto cuando es necesario realizar los cambios de velocidad.
G2019  425.21     Conducir un vehículo usando algún dispositivo móvil u objeto portátil que implique dejar de conducir con ambas manos sobre el volante de dirección.
G2020     355.07       Conducir un vehículo que carezca de vidrios de seguridado que se encuentren deteriorado o con objetos que impidan la visibilidad del conductor.
G2021       404.64       Conducir un vehículo que no cuenta con las luces o dispositivos retrorreflectivos previstos en los reglamentos pertinentes
G2022    356.97  Conducir un vehículo sin espejos retrovisores.
G2023     436.77     Conducir un vehículo cuando llueve, llovizne o garúe, sin tener operativo el sistema de limpiaparabrisas.
G2024       390.26     Conducir un vehículo del servicio de transporte público de pasajeros con personas de pie, si la altura interior del vehículo no supera a 1,80 metros.
G2025    433.04     Conducir un vehículo con el motor en punto neutro o apagado.
G2026    366.43  Conducir un vehículo sin portar el Certificado SOAT físico, excepto que se cuente con certificado electrónico.
G2027    344.75       Conducir un vehículocon la salida del tubo de escape en la parte lateral derecha.
G2028    404.47    Conducir un vehículo cuya carga o pasajeros obstruya la visibilidad de los espejos laterales.
G2029     369.96       No llevar puesto el cinturón de seguridad y/o permitir que los ocupantes del vehículo no lo utilicen.
G2030       433.12       Circular en forma desordenada o haciendo maniobras peligrosas
G2031  365.30    Circular transportando personas en la parte exterior de la carrocería o permitir que sobresalga parte del cuerpo de personas.
G2032       361.87       Circular en las vias publicas urbanas por la noche sin tener encendido el sistema de luces reglamentarias.
G2033       428.40     Circular en las vias publicas terrestres en donde haya una señal de ZONA DE NEBLINA sin tener las luces intermitentes de emergencia encendidas.
G2034  371.82       Circular por la ciclovía
G2035       379.06       Circular transportando cargas que sobrepasen las dimensiones de la carrocería o que se encuentren ubicadas fuera de la misma.
G2036  391.76  Remolcar vehículos sin las medidas de seguridad.
G2037  378.99     Usar luces altas en vías urbanas o hacer mal uso de las luces.
G2038    444.70  Compartir el asiento de conducir con otra persona, animal o cosa.
G2039  394.23  No reducir la velocidad al ingresar a un túnel o cruzar un puente, intersecciones o calles congestionadas.
G2040    352.29  Transitar lentamente por el carril de la izquierda, causando congestión o riesgo o rápidamente por el carril de la derecha.
G2041       440.60    Aumentar la velocidad cuando es alcanzado por otro vehículo que tiene la intención de sobrepasarlo o adelantarlo.
G2042       398.23     Estacionar el vehículo en zonas prohibidas o rigidas señalizadas o sin las señales de seguridad reglamentarias en caso de emergencia.
G2043     424.99     Estacionar o detener el vehículo sobre la línea demarcatoria de intersección, dentro de éstas o en el crucero peatonal (paso peatonal)
G2044     374.91  Estacionar frente a la entrada o salida de garajes, estacionamientos públicos o en las salidas de salas, espectáculos en funcionamiento.
G2045       420.91    Estacionar a una distancia menor de cinco metros de una bocacalle, de las entradas centros de asistencia médica, bomberos o de hidrantes.
G2046       388.85       Estacionar a menos de tres (3) metros de las puertas de establecimientos educacionales, teatros, iglesias y hoteles.
G2047  359.93  Estacionar a menos de veinte (20) metros de un cruce ferroviario a nivel.
G2048  365.76       Estacionar en zonas no permitidas por la autoridad competente, a menos de diez (10) metros de un cruce peatonal o de un paradero de buses.
G2049    389.89       Estacionar en lugar que afecte la operatividad del servicio de transporte público de pasajeros o carga o que afecte la seguridad del tránsito.
G2050  444.75     Estacionar un ómnibus, microbus, camión, remolque, volquete o furgón, en en vías públicas de zona urbana.
G2051       418.99  Estacionar un vehículo a una distancia menor a un metro de la parte delantera o posterior de otro ya estacionado.
G2052    423.87  Estacionar en los terminales o estaciones de ruta, fuera de los estacionamientos externos determinados por la Autoridad competente.
G2053     379.79    Estacionar un vehículo automotor por la noche en lugares donde, por la falta de alumbrado público, se impide su visibilidad.
G2054     396.09  Estacionar un vehículo en vías con pendientes pronunciadas sin asegurar su inmovilización.
G2055     436.61  Desplazar o empujar un vehículo bien estacionado, con el propósito de ampliar un espacio o tratar de estacionar otro vehículo.
G2056    417.99     Abandonar el vehículo en la vía pública.
G2057     429.10    Utilizar la vía pública para efectuar reparaciones, salvo casos de emergencia.
G2058    361.03       Recoger o dejar pasajeros fuera de los paraderos de ruta autorizados, cuando existan.
G2059  396.39  No respetar las señales que rigen el tránsito, cuyo incumplimiento no se encuentre tipificado en otra infracción.
G2060    436.57  No presentar la Tarjeta de Identificación Vehicular; la Licencia de Conducir y/o el Documento de Identidad.
G2061    403.13     Conducir un vehículo sin tener puesto el casco de seguridad o anteojos protectores, en caso de no tener parabrisas.
G2062       409.30  Circular con placas ilegibles o sin iluminación, que impida su lectura a través de medios electrónicos.
G2063  431.38       No llevar las placas de rodaje en el lugar que corresponde.
G2064    371.48  Incumplir con devolver las placas de exhibición, rotativa o transitoria dentro de los plazos establecidos.
G2065       378.40    Utilizar señales audibles o visibles iguales o similares a las que utilizan los vehículos de emergencia o vehículos oficiales.
G2066    429.96     Conducir un vehículo cuyas características registrables o condiciones técnicas han sido modificadas, atentando contra la seguridad de los usuarios.
G2067     429.89     No ceder el paso a otros vehículos que tienen preferencia.
G2068  391.39  Seguir a los vehículos de emergencia y vehículos oficiales para avanzar más rápidamente.
G2069     359.96     Detener el vehiculo sobre la demarcación en el pavimento de la señal No bloquear cruce
G2070     387.82    Circular por las vías públicas terrestres donde se encuentran instaladas garitas de peaje, sin pagar el monto del peaje.
G2071       362.03     Utilizar, mientras se conduce el vehículo, cualquier dispositivo electrónico que reproduzca imágenes o videos con fines de entretenimiento visual.
G2072  389.95       Utilizar un vehículo que tenga instalados los dispositivos electrónicos permitidos obstaculizando la visibilidad del conductor.
G2073  385.41    Adelantar o sobrepasar a la bicicleta u otros ciclos o al VMP, incumpliendo la obligación de efectuar dicha maniobra por el carril de la izquierda.
G2074     396.96       Abrir o dejar abierta la puerta o capot de un vehículo automotor, dificultando la circulación de la bicicleta u otros ciclos o del VMP
L3001    214.55       Dejar mal estacionado el vehículo en lugares permitidos.
L3002  250.32    Estacionar un vehículo en zonas de parqueo destinadas a vehículos que transportan a personas con discapacidad o conducidos por éstos.
L3003  197.91       Abrir o dejar abierta la puerta de un vehículo estacionado, dificultando la circulación vehicular.
L3004       182.63     Utilizar el carril de giro a la izquierda para continuar la marcha en cualquier dirección que no sea la específicamente señalada.
L3005    200.49  Arrojar, depositar o abandonar objetos o sustancias en la vía pública que dificulten la circulación.
L3006     220.25  Utilizar la bocina para llamar la atención en forma innecesaria
L3007  190.27    Hacer uso de bocinas de descarga de aire comprimido en el ámbito urbano.
